Week,Day,Date,Winner/tie,,Loser/tie,,Pts,Pts
WildCard,Sat,2011-01-08,New York Jets,@,Indianapolis Colts,boxscore,17,16
WildCard,Sat,2011-01-08,Seattle Seahawks,,New Orleans Saints,boxscore,41,36
WildCard,Sun,2011-01-09,Green Bay Packers,@,Philadelphia Eagles,boxscore,21,16
WildCard,Sun,2011-01-09,Baltimore Ravens,@,Kansas City Chiefs,boxscore,30,7
Division,Sat,2011-01-15,Pittsburgh Steelers,,Baltimore Ravens,boxscore,31,24
Division,Sat,2011-01-15,Green Bay Packers,@,Atlanta Falcons,boxscore,48,21
Division,Sun,2011-01-16,Chicago Bears,,Seattle Seahawks,boxscore,35,24
Division,Sun,2011-01-16,New York Jets,@,New England Patriots,boxscore,28,21
ConfChamp,Sun,2011-01-23,Pittsburgh Steelers,,New York Jets,boxscore,24,19
ConfChamp,Sun,2011-01-23,Green Bay Packers,@,Chicago Bears,boxscore,21,14
SuperBowl,Sun,2011-02-06,Green Bay Packers,N,Pittsburgh Steelers,boxscore,31,25
