Week,Day,Date,Winner/tie,,Loser/tie,,Pts,Pts
WildCard,Sat,2013-01-05,Green Bay Packers,,Minnesota Vikings,boxscore,24,10
WildCard,Sat,2013-01-05,Houston Texans,,Cincinnati Bengals,boxscore,19,13
WildCard,Sun,2013-01-06,Baltimore Ravens,,Indianapolis Colts,boxscore,24,9
WildCard,Sun,2013-01-06,Seattle Seahawks,@,Washington Redskins,boxscore,24,14
Division,Sat,2013-01-12,San Francisco 49ers,,Green Bay Packers,boxscore,45,31
Division,Sat,2013-01-12,Baltimore Ravens,@,Denver Broncos,boxscore,38,35
Division,Sun,2013-01-13,Atlanta Falcons,,Seattle Seahawks,boxscore,30,28
Division,Sun,2013-01-13,New England Patriots,,Houston Texans,boxscore,41,28
ConfChamp,Sun,2013-01-20,San Francisco 49ers,@,Atlanta Falcons,boxscore,28,24
ConfChamp,Sun,2013-01-20,Baltimore Ravens,@,New England Patriots,boxscore,28,13
SuperBowl,Sun,2013-02-03,Baltimore Ravens,N,San Francisco 49ers,boxscore,34,31
