Week,Day,Date,Winner/tie,,Loser/tie,,Pts,Pts
WildCard,Sat,2000-12-30,Miami Dolphins,,Indianapolis Colts,boxscore,23,17
WildCard,Sat,2000-12-30,New Orleans Saints,,St. Louis Rams,boxscore,31,28
WildCard,Sun,2000-12-31,Philadelphia Eagles,,Tampa Bay Buccaneers,boxscore,21,3
WildCard,Sun,2000-12-31,Baltimore Ravens,,Denver Broncos,boxscore,21,3
Division,Sat,2001-01-06,Minnesota Vikings,,New Orleans Saints,boxscore,34,16
Division,Sat,2001-01-06,Oakland Raiders,,Miami Dolphins,boxscore,27,0
Division,Sun,2001-01-07,New York Giants,,Philadelphia Eagles,boxscore,20,10
Division,Sun,2001-01-07,Baltimore Ravens,@,Tennessee Titans,boxscore,24,10
ConfChamp,Sun,2001-01-14,New York Giants,,Minnesota Vikings,boxscore,41,0
ConfChamp,Sun,2001-01-14,Baltimore Ravens,@,Oakland Raiders,boxscore,16,3
SuperBowl,Sun,2001-01-28,Baltimore Ravens,N,New York Giants,boxscore,34,7
