Week,Day,Date,Winner/tie,,Loser/tie,,Pts,Pts
WildCard,Sat,2002-01-12,Philadelphia Eagles,,Tampa Bay Buccaneers,boxscore,31,9
WildCard,Sat,2002-01-12,Oakland Raiders,,New York Jets,boxscore,38,24
WildCard,Sun,2002-01-13,Green Bay Packers,,San Francisco 49ers,boxscore,25,15
WildCard,Sun,2002-01-13,Baltimore Ravens,@,Miami Dolphins,boxscore,20,3
Division,Sat,2002-01-19,New England Patriots,,Oakland Raiders,boxscore,16,13
Division,Sat,2002-01-19,Philadelphia Eagles,@,Chicago Bears,boxscore,33,19
Division,Sun,2002-01-20,Pittsburgh Steelers,,Baltimore Ravens,boxscore,27,10
Division,Sun,2002-01-20,St. Louis Rams,,Green Bay Packers,boxscore,45,17
ConfChamp,Sun,2002-01-27,New England Patriots,@,Pittsburgh Steelers,boxscore,24,17
ConfChamp,Sun,2002-01-27,St. Louis Rams,,Philadelphia Eagles,boxscore,29,24
SuperBowl,Sun,2002-02-03,New England Patriots,N,St. Louis Rams,boxscore,20,17
