Week,Day,Date,Winner/tie,,Loser/tie,,Pts,Pts
WildCard,Sat,2010-01-09,Dallas Cowboys,,Philadelphia Eagles,boxscore,34,14
WildCard,Sat,2010-01-09,New York Jets,@,Cincinnati Bengals,boxscore,24,14
WildCard,Sun,2010-01-10,Arizona Cardinals,,Green Bay Packers,boxscore,51,45
WildCard,Sun,2010-01-10,Baltimore Ravens,@,New England Patriots,boxscore,33,14
Division,Sat,2010-01-16,Indianapolis Colts,,Baltimore Ravens,boxscore,20,3
Division,Sat,2010-01-16,New Orleans Saints,,Arizona Cardinals,boxscore,45,14
Division,Sun,2010-01-17,Minnesota Vikings,,Dallas Cowboys,boxscore,34,3
Division,Sun,2010-01-17,New York Jets,@,San Diego Chargers,boxscore,17,14
ConfChamp,Sun,2010-01-24,Indianapolis Colts,,New York Jets,boxscore,30,17
ConfChamp,Sun,2010-01-24,New Orleans Saints,,Minnesota Vikings,boxscore,31,28
SuperBowl,Sun,2010-02-07,New Orleans Saints,N,Indianapolis Colts,boxscore,31,17
