Week,Day,Date,Winner/tie,,Loser/tie,,Pts,Pts
WildCard,Sat,2012-01-07,Houston Texans,,Cincinnati Bengals,boxscore,31,10
WildCard,Sat,2012-01-07,New Orleans Saints,,Detroit Lions,boxscore,45,28
WildCard,Sun,2012-01-08,Denver Broncos,,Pittsburgh Steelers,boxscore,29,23
WildCard,Sun,2012-01-08,New York Giants,,Atlanta Falcons,boxscore,24,2
Division,Sat,2012-01-14,New England Patriots,,Denver Broncos,boxscore,45,10
Division,Sat,2012-01-14,San Francisco 49ers,,New Orleans Saints,boxscore,36,32
Division,Sun,2012-01-15,Baltimore Ravens,,Houston Texans,boxscore,20,13
Division,Sun,2012-01-15,New York Giants,@,Green Bay Packers,boxscore,37,20
ConfChamp,Sun,2012-01-22,New England Patriots,,Baltimore Ravens,boxscore,23,20
ConfChamp,Sun,2012-01-22,New York Giants,@,San Francisco 49ers,boxscore,20,17
SuperBowl,Sun,2012-02-05,New York Giants,N,New England Patriots,boxscore,21,17
