Week,Day,Date,Winner/tie,,Loser/tie,,Pts,Pts
WildCard,Sat,2003-01-04,Atlanta Falcons,@,Green Bay Packers,boxscore,27,7
WildCard,Sat,2003-01-04,New York Jets,,Indianapolis Colts,boxscore,41,0
WildCard,Sun,2003-01-05,Pittsburgh Steelers,,Cleveland Browns,boxscore,36,33
WildCard,Sun,2003-01-05,San Francisco 49ers,,New York Giants,boxscore,39,38
Division,Sat,2003-01-11,Tennessee Titans,,Pittsburgh Steelers,boxscore,34,31
Division,Sat,2003-01-11,Philadelphia Eagles,,Atlanta Falcons,boxscore,20,6
Division,Sun,2003-01-12,Oakland Raiders,,New York Jets,boxscore,30,10
Division,Sun,2003-01-12,Tampa Bay Buccaneers,,San Francisco 49ers,boxscore,31,6
ConfChamp,Sun,2003-01-19,Oakland Raiders,,Tennessee Titans,boxscore,41,24
ConfChamp,Sun,2003-01-19,Tampa Bay Buccaneers,@,Philadelphia Eagles,boxscore,27,10
SuperBowl,Sun,2003-01-26,Tampa Bay Buccaneers,N,Oakland Raiders,boxscore,48,21
