Week,Day,Date,Winner/tie,,Loser/tie,,Pts,Pts
WildCard,Sat,2007-01-06,Indianapolis Colts,,Kansas City Chiefs,boxscore,23,8
WildCard,Sat,2007-01-06,Seattle Seahawks,,Dallas Cowboys,boxscore,21,20
WildCard,Sun,2007-01-07,New England Patriots,,New York Jets,boxscore,37,16
WildCard,Sun,2007-01-07,Philadelphia Eagles,,New York Giants,boxscore,23,20
Division,Sat,2007-01-13,New Orleans Saints,,Philadelphia Eagles,boxscore,27,24
Division,Sat,2007-01-13,Indianapolis Colts,@,Baltimore Ravens,boxscore,15,6
Division,Sun,2007-01-14,Chicago Bears,,Seattle Seahawks,boxscore,27,24
Division,Sun,2007-01-14,New England Patriots,@,San Diego Chargers,boxscore,24,21
ConfChamp,Sun,2007-01-21,Chicago Bears,,New Orleans Saints,boxscore,39,14
ConfChamp,Sun,2007-01-21,Indianapolis Colts,,New England Patriots,boxscore,38,34
SuperBowl,Sun,2007-02-04,Indianapolis Colts,N,Chicago Bears,boxscore,29,17
